createdAt,ticketType,popularityBand,raceGrade,investment,payout,racecourse,raceNumber,horseNumber,jockeyName,horseName,raceTimeDetail,courseSurface,courseDirection,courseLength,weather,trackCondition,memo
2025-09-11T00:06:49.031873+00:00,複勝,1〜3番人気,平場,1000,100,京都,3,4,岩田望来,ウマログスター76,7R,芝,右,1400m,曇,稍重,初めての競馬場
2025-09-11T06:06:49.031873+00:00,単勝,穴,G1,8000,800,京都,8,9,武豊,ミドリカゼ90,7R,ダート,左,1600m,曇,重,勢いで買った
2025-09-11T12:06:49.031873+00:00,複勝,中穴,G1,2000,20000,札幌,10,9,武豊,ナイトランナー69,2R,ダート,右,3000m,雨,重,次回は控える
2025-09-11T18:06:49.031873+00:00,馬連,穴,G1,100,5000,京都,5,3,C.ルメール,ウマログスター49,5R,ダート,直線,2200m,曇,重,買い目を絞った
2025-09-12T00:06:49.031873+00:00,馬連,穴,重賞,200,3000,阪神,9,8,横山武史,ナイトランナー49,5R,芝,直線,2200m,晴,稍重,冷静に買えた
2025-09-12T06:06:49.031873+00:00,ワイド,中穴,重賞,200,100,中京,12,11,C.ルメール,ナイトランナー51,11R,ダート,右,2000m,曇,稍重,初めての競馬場
2025-09-12T12:06:49.031873+00:00,馬単,穴,平場,3000,3000,函館,6,8,横山武史,サクラミチ64,2R,芝,右,1600m,曇,不良,次回は控える
2025-09-12T18:06:49.031873+00:00,複勝,中穴,重賞,10000,1200,福島,5,18,武豊,ウマログスター88,9R,ダート,直線,2200m,晴,重,ワイドで保険
2025-09-13T00:06:49.031873+00:00,枠連,中穴,G1,1000,2000,阪神,9,4,M.デムーロ,サクラミチ78,4R,芝,左,1600m,晴,重,見送るべきだった
2025-09-13T06:06:49.031873+00:00,単勝,1〜3番人気,重賞,1000,100,東京,4,3,川田将雅,ナイトランナー9,9R,芝,右,2500m,曇,重,初めての競馬場
2025-09-13T12:06:49.031873+00:00,3連複,1〜3番人気,平場,500,10000,小倉,7,12,松山弘平,サクラミチ58,2R,芝,右,1400m,雨,良,次回は控える
2025-09-13T18:06:49.031873+00:00,馬連,穴,G1,100,0,東京,4,3,武豊,ホワイトリバー10,9R,芝,左,2500m,曇,稍重,次回は控える
2025-09-14T00:06:49.031873+00:00,3連単,1〜3番人気,重賞,3000,100,中山,2,14,坂井瑠星,グリーンシャドウ53,8R,芝,直線,1400m,晴,不良,買い目を絞った
2025-09-14T06:06:49.031873+00:00,複勝,1〜3番人気,G1,500,2000,新潟,3,14,横山武史,キンモクセイ60,4R,芝,左,3000m,晴,良,初めての競馬場
2025-09-14T12:06:49.031873+00:00,単勝,1〜3番人気,G1,300,800,新潟,8,7,戸崎圭太,サンプルホース22,7R,芝,左,2000m,小雨,重,ワイドで保険
2025-09-14T18:06:49.031873+00:00,3連単,1〜3番人気,G1,1000,100,東京,10,18,武豊,ホワイトリバー8,1R,ダート,直線,3000m,曇,良,初めての競馬場
2025-09-15T00:06:49.031873+00:00,複勝,1〜3番人気,G1,10000,0,京都,7,4,横山和生,アオノルート75,10R,芝,直線,1400m,小雨,重,直前に変更した
2025-09-15T06:06:49.031873+00:00,馬連,穴,平場,2000,100,小倉,7,5,M.デムーロ,ナイトランナー41,2R,芝,左,1400m,晴,稍重,初めての競馬場
2025-09-15T12:06:49.031873+00:00,馬単,1〜3番人気,重賞,200,100,札幌,5,6,松山弘平,サクラミチ91,5R,芝,直線,3000m,雨,良,人気を信じた
2025-09-15T18:06:49.031873+00:00,馬単,1〜3番人気,G1,8000,0,小倉,5,7,坂井瑠星,アオノルート88,11R,ダート,直線,2500m,雨,良,勢いで買った
2025-09-16T00:06:49.031873+00:00,3連複,中穴,G1,100,500,阪神,11,9,横山武史,ナイトランナー71,12R,ダート,直線,1200m,晴,良,人気を信じた
2025-09-16T06:06:49.031873+00:00,単勝,中穴,平場,8000,0,函館,3,2,M.デムーロ,ホワイトリバー6,6R,芝,直線,1800m,晴,重,初めての競馬場
2025-09-16T12:06:49.031873+00:00,3連複,穴,平場,300,100,阪神,3,14,武豊,ミドリカゼ95,6R,ダート,直線,1800m,雨,稍重,勢いで買った
